t,t_year,Labr,TFPr,gr_Dcrb,Dcrb,cost1_Abat,CEms_land,CEms_land_cum
23,115,7403.0,5.115,-0.0152,0.35032002736111795,0.0424576402612209,0.1768989696332541,2.6
24,120,7403.0,5.115,-0.0152,0.35032002736111795,0.04139619925469036,0.15655558812542988,2.6
25,125,7403.0,5.115,-0.0152,0.35032002736111795,0.040361294273323106,0.13855169549100546,2.6
26,130,7403.0,5.115,-0.0152,0.35032002736111795,0.03935226191649003,0.12261825050953983,2.6
27,135,7403.0,5.115,-0.0152,0.35032002736111795,0.03836845536857777,0.10851715170094274,2.6
28,140,7403.0,5.115,-0.0152,0.35032002736111795,0.03740924398436333,0.09603767925533432,2.6
29,145,7403.0,5.115,-0.0152,0.35032002736111795,0.03647401288475424,0.08499334614097089,2.6
30,150,7403.0,5.115,-0.0152,0.35032002736111795,0.03556216256263539,0.07521911133475923,2.6
31,155,7403.0,5.115,-0.0152,0.35032002736111795,0.0346731084985695,0.06656891353126192,2.6
32,160,7403.0,5.115,-0.0152,0.35032002736111795,0.033806280786105265,0.058913488475166795,2.6
33,165,7403.0,5.115,-0.0152,0.35032002736111795,0.03296112376645263,0.052138437300522616,2.6
34,170,7403.0,5.115,-0.0152,0.35032002736111795,0.03213709567229132,0.04614251701096252,2.6
35,175,7403.0,5.115,-0.0152,0.35032002736111795,0.03133366828048403,0.040836127554701826,2.6
36,180,7403.0,5.115,-0.0152,0.35032002736111795,0.030550326573471932,0.03613997288591112,2.6
37,185,7403.0,5.115,-0.0152,0.35032002736111795,0.029786568409135128,0.03198387600403134,2.6
38,190,7403.0,5.115,-0.0152,0.35032002736111795,0.029041904198906753,0.028305730263567735,2.6
39,195,7403.0,5.115,-0.0152,0.35032002736111795,0.02831585659393408,0.02505057128325745,2.6
40,200,7403.0,5.115,-0.0152,0.35032002736111795,0.02760796017908573,0.02216975558568284,2.6
41,205,7403.0,5.115,-0.0152,0.35032002736111795,0.026917761174608586,0.019620233693329315,2.6
42,210,7403.0,5.115,-0.0152,0.35032002736111795,0.02624481714524337,0.017363906818596442,2.6
43,215,7403.0,5.115,-0.0152,0.35032002736111795,0.025588696716612288,0.015367057534457853,2.6
44,220,7403.0,5.115,-0.0152,0.35032002736111795,0.02494897929869698,0.0135998459179952,2.6
45,225,7403.0,5.115,-0.0152,0.35032002736111795,0.024325254816229557,0.01203586363742575,2.6
46,230,7403.0,5.115,-0.0152,0.35032002736111795,0.02371712344582381,0.01065173931912179,2.6
47,235,7403.0,5.115,-0.0152,0.35032002736111795,0.023124195359678218,0.009426789297422784,2.6
48,240,7403.0,5.115,-0.0152,0.35032002736111795,0.022546090475686262,0.008342708528219164,2.6
49,245,7403.0,5.115,-0.0152,0.35032002736111795,0.021982438213794107,0.007383297047473961,2.6
